experiment,easy,medium,hard,all
Single_Agent_MedGemma-1.5-4B_689cases,59.4,46.29,18.18,47.02
Single_Agent_Qwen2.5VL-7B_689cases,67.67,46.48,13.64,48.48
lg_conditional_debate_689,69.92,49.02,15.91,50.94
lg_conservative_689,59.4,49.22,20.45,49.35
lg_describe_fuse_689,63.16,48.05,25.0,49.49
lg_directed_debate_689,57.89,44.53,20.45,45.57
lg_option_ranking_689,60.9,50.78,20.45,50.8
mode1_cot_689,58.65,37.89,22.73,40.93
mode1_qwen_vision_689,48.87,40.04,11.36,39.91
mode2_debate_689,60.9,45.12,11.36,46.01
mode3_structured_689,54.89,45.19,11.36,44.9
mode3b_structured_debate_689,61.65,46.09,9.09,46.73
rag_text_689,48.12,35.94,15.91,37.01
